Table with column headers in row 3,,,
"Table:  County SNAP benefits recipients
Source:  U.S. Census Bureau, Small Area Estimates Branch
Release Date:  December 2021",,,
State FIPS code,County FIPS code,Name,July 2013
16,011,"Bingham County, ID"," 6,363 "
16,013,"Blaine County, ID", 980 
16,015,"Boise County, ID", 719 
16,017,"Bonner County, ID"," 5,347 "
16,019,"Bonneville County, ID"," 17,025 "
16,021,"Boundary County, ID"," 1,220 "
16,023,"Butte County, ID", 295 
16,025,"Camas County, ID", 99 
16,027,"Canyon County, ID"," 40,213 "
16,029,"Caribou County, ID", 522 
16,031,"Cassia County, ID"," 2,747 "
16,033,"Clark County, ID", 73 
16,035,"Clearwater County, ID", 891 
16,037,"Custer County, ID", 260 
16,039,"Elmore County, ID"," 3,258 "
16,041,"Franklin County, ID", 899 
16,043,"Fremont County, ID"," 1,605 "
16,045,"Gem County, ID"," 2,557 "
16,047,"Gooding County, ID"," 2,016 "
16,049,"Idaho County, ID"," 1,558 "
16,051,"Jefferson County, ID"," 2,982 "
16,053,"Jerome County, ID"," 3,644 "
16,055,"Kootenai County, ID"," 19,188 "
16,057,"Latah County, ID"," 2,700 "
16,059,"Lemhi County, ID", 851 
16,061,"Lewis County, ID", 662 
16,063,"Lincoln County, ID", 726 
16,065,"Madison County, ID"," 3,756 "
16,067,"Minidoka County, ID"," 2,726 "
16,069,"Nez Perce County, ID"," 4,676 "
16,071,"Oneida County, ID", 324 
